"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"1",1,1,1,"2024-08-07 16:30:00",680,0.393283635377884,0.393283635377884,2,0,1230,11,30.0854396820068,0,0.364624522626685,NA
"2",2,1,2,"2024-08-07 16:30:00",680,0.372987478971481,0.372987478971481,2,0,1279,11,30.0876216888428,0,0.344719242659531,NA
"3",3,1,3,"2024-08-07 16:30:00",680,0.400555372238159,0.400555372238159,2,0,1202,10,30.0898036956787,0,0.371808926155411,NA
"4",4,1,4,"2024-08-07 16:30:00",680,0.321322947740555,0.321322947740555,2,0,1444,12,30.0898036956787,0,0.294977776983017,NA
"5",5,1,5,"2024-08-07 16:30:00",680,0.33984836935997,0.33984836935997,2,0,1380,11,30.0876216888428,0,0.312666139728015,NA
"6",6,1,6,"2024-08-07 16:30:00",680,0.351170003414154,0.351170003414154,2,0,1347,11,30.0854396820068,0,0.323556069632371,NA
"7",7,1,7,"2024-08-07 16:30:00",680,0.363422632217407,0.363422632217407,2,0,1311,10,30.0832576751709,0,0.335411970536793,NA
"8",8,1,8,"2024-08-07 16:30:00",680,0.323776215314865,0.323776215314865,2,0,1444,12,30.081075668335,0,0.297311081015746,NA
"9",9,1,1,"2024-08-07 16:30:00",720,0.204178169369698,0.204178169369698,2,0,1876,10,30.0854396820068,0,0.213101908495996,0
"10",10,1,2,"2024-08-07 16:30:00",720,0.22213913500309,0.22213913500309,2,0,1804,10,30.0876216888428,0,0.232808222704367,0
"11",11,1,3,"2024-08-07 16:30:00",720,0.219880044460297,0.219880044460297,2,0,1823,10,30.0898036956787,0,0.230312996015457,0
"12",12,1,4,"2024-08-07 16:30:00",720,0.201507985591888,0.201507985591888,2,0,1909,12,30.0898036956787,0,0.210197412747792,0
"13",13,1,5,"2024-08-07 16:30:00",720,0.200410038232803,0.200410038232803,2,0,1892,11,30.0876216888428,0,0.209004951127479,0
"14",14,1,6,"2024-08-07 16:30:00",720,0.220364287495613,0.220364287495613,2,0,1829,12,30.0854396820068,0,0.23084744458967,0
"15",15,1,7,"2024-08-07 16:30:00",720,0.216358602046967,0.216358602046967,2,0,1826,11,30.0832576751709,0,0.22643315190194,0
"16",16,1,8,"2024-08-07 16:30:00",720,0.203714028000832,0.203714028000832,2,0,1885,12,30.081075668335,0,0.212596582519342,NA
"17",17,1,1,"2024-08-07 16:45:00",680,0.391860842704773,0.391860842704773,2,0,1234,11,30.0941638946533,0.25,0.363222107805377,NA
"18",18,1,2,"2024-08-07 16:45:00",680,0.378849387168884,0.378849387168884,2,0,1262,11,30.0963439941406,0.25,0.350446307536233,NA
"19",19,1,3,"2024-08-07 16:45:00",680,0.404581755399704,0.404581755399704,2,0,1191,10,30.0985221862793,0.25,0.375799142862051,NA
"20",20,1,4,"2024-08-07 16:45:00",680,0.322537779808044,0.322537779808044,2,0,1439,11,30.1007022857666,0.25,0.296132861646755,NA
"21",21,1,5,"2024-08-07 16:45:00",680,0.340483248233795,0.340483248233795,2,0,1378,11,30.1028804779053,0.25,0.313275182574365,NA
"22",22,1,6,"2024-08-07 16:45:00",680,0.353778392076492,0.353778392076492,2,0,1340,12,30.1028804779053,0.25,0.32607380128877,NA
"23",23,1,7,"2024-08-07 16:45:00",680,0.36744698882103,0.36744698882103,2,0,1300,11,30.1028804779053,0.25,0.339322322387699,NA
"24",24,1,8,"2024-08-07 16:45:00",680,0.323776215314865,0.323776215314865,2,0,1444,12,30.1028804779053,0.25,0.297311081015746,NA
"25",25,1,1,"2024-08-07 16:45:00",720,0.206044092774391,0.206044092774391,2,0,1869,11,30.0941638946533,0.25,0.215135348192157,1
"26",26,1,2,"2024-08-07 16:45:00",720,0.22749787569046,0.22749787569046,2,0,1783,11,30.0963439941406,0.25,0.238746791095849,1
"27",27,1,3,"2024-08-07 16:45:00",720,0.217967867851257,0.217967867851257,2,0,1831,10,30.0985221862793,0.25,0.228204747667662,1
"28",28,1,4,"2024-08-07 16:45:00",720,0.202424675226212,0.202424675226212,2,0,1904,11,30.1007022857666,0.25,0.211193829138706,1
"29",29,1,5,"2024-08-07 16:45:00",720,0.205753117799759,0.205753117799759,2,0,1869,11,30.1028804779053,0.25,0.21481804458663,1
"30",30,1,6,"2024-08-07 16:45:00",720,0.219170853495598,0.219170853495598,2,0,1833,11,30.1028804779053,0.25,0.229530680474766,1
"31",31,1,7,"2024-08-07 16:45:00",720,0.2194804251194,0.2194804251194,2,0,1813,11,30.1028804779053,0.25,0.229872113114788,1
"32",32,1,8,"2024-08-07 16:45:00",720,0.206505417823792,0.206505417823792,2,0,1873,12,30.1028804779053,0.25,0.215638572297653,NA
"33",33,1,1,"2024-08-07 17:00:00",680,0.358055859804153,0.358055859804153,2,0,1331,9,30.0701694488525,0.5,0.330209833244998,NA
"34",34,1,2,"2024-08-07 17:00:00",680,0.344488054513931,0.344488054513931,2,0,1363,9,30.0723476409912,0.5,0.317121450163345,NA
"35",35,1,3,"2024-08-07 17:00:00",680,0.374397903680801,0.374397903680801,2,0,1275,9,30.0723476409912,0.5,0.346095613570859,NA
"36",36,1,4,"2024-08-07 17:00:00",680,0.295422405004501,0.295422405004501,2,0,1530,10,30.0723476409912,0.5,0.270507024874585,NA
"37",37,1,5,"2024-08-07 17:00:00",680,0.315183401107788,0.315183401107788,2,0,1459,10,30.0723476409912,0.5,0.28915039228119,NA
"38",38,1,6,"2024-08-07 17:00:00",680,0.324382364749908,0.324382364749908,2,0,1432,11,30.0701656341553,0.5,0.29788801317889,NA
"39",39,1,7,"2024-08-07 17:00:00",680,0.329714596271515,0.329714596271515,2,0,1416,10,30.0701656341553,0.5,0.30297050019492,NA
